Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	943	62284	165	10890	165.0	78.58333333333333	10890.0	5190.333333333333	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
984	86344	38	3361	38.0	75.6923076923077	3361.0	6641.846153846154	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	telnet
511	44906	42	3736	42.0	85.16666666666667	3736.0	7484.333333333333	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	telnet
523	45968	12	1062	12.0	74.71428571428571	1062.0	6566.857142857143	509	33610	42	2772	42.0	84.83333333333333	2772.0	5601.666666666667	telnet
1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	981	64792	38	2508	38.0	75.46153846153847	2508.0	4984.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	telnet
523	45968	12	1062	12.0	74.71428571428571	1062.0	6566.857142857143	521	34402	12	792	12.0	74.42857142857143	792.0	4914.571428571428	telnet
1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	telnet
1002	66178	21	1386	21.0	71.57142857142857	1386.0	4727.0	1005	88194	21	1850	21.0	71.78571428571429	1850.0	6299.571428571428	telnet
